part_num,name,part_cat_id,part_material
30224,"Animal, Fish, Ornamental",28,Plastic
3087bc01,Window 1 x 1 x 1 Classic with Long Sill [Complete],16,Plastic
62576,Windscreen 5 x 8 x 2,47,Plastic
4350c02,"Battery Box, 4.5V, 4 x 24, 3 x C-Cell with Switch [Complete Assembly]",45,Plastic
3961,"Dish 8 x 8 Inverted [Radar], Solid Studs, Rounded Anti-stud Underside",21,Plastic
412,Arm Piece 90° Turn [2 / 3 Fingers],18,Plastic
374,Baseplate 16 x 32 with Rounded Corners [Plain],1,Plastic
2453a,Brick 1 x 1 x 5 with Blocked Open or Hollow Stud,11,Plastic
21301,Boat / Rowing Boat 14 x 5 x 2 with Oarlocks [No Hollow Inside Studs],35,Plastic
2470,Wheel Wagon Small (27mm D.),29,Plastic
3008,Brick 1 x 8,11,Plastic
2302,Duplo Brick 2 x 3 with Curved Top,4,Plastic
2464,Wedge Sloped Inverted 3 x 3 x 2 Facet,6,Plastic
44572,Hinge Panel 2 x 4 x 3 1/3 Locking Dual 2 Fingers,18,Plastic
11215,"Bracket 5 x 2 x 1 1/3 with Holes, Pin Bottom",5,Plastic
3034,Plate 2 x 8,14,Plastic
3020,Plate 2 x 4,14,Plastic
6158,Minifig Neckwear Helmet Breathing Apparatus,71,Plastic
2458,Brick Special 1 x 2 with Pin,5,Plastic
4495a,Flag 4 x 1 Wavy [First Wave Left],38,Plastic
2536c,"Plant, Palm Tree Trunk - Short Connector, Axle Hole with 4 Inside Prongs",76,Plastic
2855,"Technic Turntable Large Type 1 Top, 56 Tooth",52,Plastic
3587,Tail Old,35,Plastic
2672,"Vehicle Track, Monorail Curve Long",36,Plastic
4217,Brick Special 1 x 14 Grooved,5,Plastic
2909,"Technic Shock Absorber 9.5L, Cylinder",25,Plastic
73194c01,Door 1 x 4 x 5 Right with Trans-Clear Glass,16,Plastic
30608,"Hair Flat Top, Tall",65,Plastic
3063b,Brick Round Corner 2 x 2 Macaroni with Stud Notch,20,Plastic
2921,Brick Special 1 x 1 with Handle,5,Plastic
2412a,Tile Special 1 x 2 Grille without Bottom Groove,15,Plastic
41768,Wedge 4 x 2 Left,6,Plastic
30191,Equipment Stretcher Holder,27,Rubber
6574,Technic Gear Rack 1 x 2 with Ball Joints,52,Plastic
30359a,"Bar 1 x 8 with Brick 1 x 2 Curved Top End (Original, No Axle Holder)",32,Plastic
2712,Technic Plate Rotor 3 Blade with Toothed Ends and 3 Studs (Propeller),26,Plastic
3829c01,Steering Stand 1 x 2 with Black Steering Wheel,36,Plastic
6212,Brick 4 x 10,11,Plastic
61484,Windscreen 5 x 6 x 2 Triple Curved Top Canopy with 4 Studs,47,Plastic
93606,Slope Curved 4 x 2 No Studs,37,Plastic
13760,Windscreen 2 x 6 x 2 Train without Glass,47,Plastic
4460b,Slope 75° 2 x 1 x 3 with Hollow Stud,3,Plastic
970c07,Hips and Dark Brown Legs,61,Plastic
14769,Tile Round 2 x 2 with Bottom Stud Holder,67,Plastic
47457,Brick Curved 2 x 2 x 2/3 Two Studs and Curved Slope End,37,Plastic
45917,Sports Skateboard with Mag Wheel Holders,27,Plastic
58124c01,"Plate Special, 2 x 2 Power Functions Wire Connector, Power Functions Bottom",45,Plastic
32235,"Axle Hose, Soft 19L",30,Plastic
32553,Large Figure Head Connector Block 3 x 4 x 1 2/3,41,Plastic
3815,Hips,61,Plastic
30027a,Wheel 8 x 9 with Round Hole for Wheel Holder Pin,29,Plastic
42936,"Track System, Straight Track 16 x 8 x 2",1,Plastic
32209,Technic Axle 5.5 with Stop [Flat Short End],46,Plastic
4175,Plate Special 1 x 2 with Ladder,9,Plastic
